node1	node2
Rv0001	Rv0352
Rv0001	Rv0462
Rv0001	Rv0683
Rv0001	Rv0685
Rv0001	Rv0704
Rv0001	Rv0706
Rv0001	Rv0707
Rv0001	Rv0708
Rv0001	Rv0714
Rv0001	Rv0721
Rv0001	Rv0758
Rv0001	Rv0794c
Rv0001	Rv0982
Rv0001	Rv2373c
Rv0001	Rv2572c
Rv0001	Rv2713
Rv0001	Rv2855
Rv0001	Rv2890c
Rv0001	Rv3303c
Rv0001	Rv3442c
Rv0001	Rv3460c
Rv0001	Rv3764c
Rv0002	Rv0566c
Rv0002	Rv0927c
Rv0002	Rv0973c
Rv0002	Rv1408
Rv0002	Rv1484
Rv0002	Rv1640c
Rv0002	Rv1928c
Rv0002	Rv2427c
Rv0002	Rv2501c
Rv0002	Rv2845c
Rv0002	Rv2967c
Rv0002	Rv3285
Rv0002	Rv3598c
Rv0002	Rv3628
Rv0003	Rv0440
Rv0003	Rv3417c
Rv0003	Rv3834c
Rv0005	Rv0073
Rv0005	Rv0655
Rv0005	Rv0684
Rv0005	Rv0685
Rv0005	Rv0702
Rv0005	Rv0721
Rv0005	Rv0820
Rv0005	Rv0869c
Rv0005	Rv0933
Rv0005	Rv0986
Rv0005	Rv1238
Rv0005	Rv1253
Rv0005	Rv1281c
Rv0005	Rv1299
Rv0005	Rv1392
Rv0005	Rv1631
Rv0005	Rv1687c
Rv0005	Rv1747
Rv0005	Rv1821
Rv0005	Rv1859
Rv0005	Rv2038c
Rv0005	Rv2397c
Rv0005	Rv2460c
Rv0005	Rv2461c
Rv0005	Rv2564
Rv0005	Rv2748c
Rv0005	Rv2832c
Rv0005	Rv2879c
Rv0005	Rv2890c
Rv0005	Rv2936
Rv0005	Rv3100c
Rv0005	Rv3102c
Rv0005	Rv3105c
Rv0005	Rv3109
Rv0005	Rv3211
Rv0005	Rv3240c
Rv0005	Rv3663c
Rv0005	Rv3758c
Rv0006	Rv0073
Rv0006	Rv0350
Rv0006	Rv0352
Rv0006	Rv0384c
Rv0006	Rv0440
Rv0006	Rv0462
Rv0006	Rv0490
Rv0006	Rv0655
Rv0006	Rv0685
Rv0006	Rv0700
Rv0006	Rv0706
Rv0006	Rv0721
Rv0006	Rv0794c
Rv0006	Rv0820
Rv0006	Rv0933
Rv0006	Rv0986
Rv0006	Rv1238
Rv0006	Rv1281c
Rv0006	Rv1297
Rv0006	Rv1392
Rv0006	Rv1458c
Rv0006	Rv1821
Rv0006	Rv1859
Rv0006	Rv2038c
Rv0006	Rv2150c
Rv0006	Rv2157c
Rv0006	Rv2215
Rv0006	Rv2373c
Rv0006	Rv2397c
Rv0006	Rv2441c
Rv0006	Rv2460c
Rv0006	Rv2461c
Rv0006	Rv2495c
Rv0006	Rv2564
Rv0006	Rv2713
Rv0006	Rv2737c
Rv0006	Rv2748c
Rv0006	Rv2832c
Rv0006	Rv2855
Rv0006	Rv2890c
Rv0006	Rv2916c
Rv0006	Rv2921c
Rv0006	Rv2936
Rv0006	Rv3100c
Rv0006	Rv3102c
Rv0006	Rv3240c
Rv0006	Rv3303c
Rv0006	Rv3313c
Rv0006	Rv3417c
Rv0006	Rv3443c
Rv0006	Rv3596c
Rv0006	Rv3663c
Rv0006	Rv3758c
Rv0009	Rv0015c
Rv0009	Rv0435c
Rv0009	Rv1746
Rv0009	Rv1862
Rv0009	Rv2115c
Rv0009	Rv3045
